season,posteam,field_zone,pass_rate,epa,success,plays
2023,ARI,1. Own End (75-100),0.5228426395939086,-0.1509796251926387,0.350253807106599,197
2023,ARI,2. Own Mid (50-74),0.55,-0.03161673397180246,0.4461538461538462,260
2023,ARI,3. Opp Mid (25-49),0.5306122448979592,-0.011758551509130867,0.4030612244897959,196
2023,ARI,4. Red Zone (10-24),0.5061728395061729,-0.29382797024288043,0.37037037037037035,81
2023,ARI,5. Goal-to-Go (<10),0.35555555555555557,0.3466781051030966,0.4888888888888889,45
2023,ATL,1. Own End (75-100),0.5311004784688995,-0.13670179803279767,0.36363636363636365,209
2023,ATL,2. Own Mid (50-74),0.580952380952381,0.011762977237369687,0.41904761904761906,315
2023,ATL,3. Opp Mid (25-49),0.4567901234567901,-0.12098911212406714,0.43209876543209874,243
2023,ATL,4. Red Zone (10-24),0.4166666666666667,-0.1768865035728323,0.39814814814814814,108
2023,ATL,5. Goal-to-Go (<10),0.4489795918367347,-0.1123461231458201,0.40816326530612246,49
2023,BAL,1. Own End (75-100),0.48322147651006714,0.1342259420858596,0.5033557046979866,149
2023,BAL,2. Own Mid (50-74),0.5959595959595959,-0.02093087037698441,0.47474747474747475,297
2023,BAL,3. Opp Mid (25-49),0.6105769230769231,0.037077601033420705,0.4855769230769231,208
2023,BAL,4. Red Zone (10-24),0.494949494949495,0.1187737524416095,0.43434343434343436,99
2023,BAL,5. Goal-to-Go (<10),0.2916666666666667,0.1586937915176554,0.5833333333333334,48
2023,BUF,1. Own End (75-100),0.592814371257485,0.04245629753989954,0.49101796407185627,167
2023,BUF,2. Own Mid (50-74),0.6279863481228669,0.09458436115002006,0.4948805460750853,293
2023,BUF,3. Opp Mid (25-49),0.5814977973568282,0.12391222837929113,0.5330396475770925,227
2023,BUF,4. Red Zone (10-24),0.5357142857142857,0.019471601995795056,0.4107142857142857,112
2023,BUF,5. Goal-to-Go (<10),0.35294117647058826,0.18451844987926821,0.5441176470588235,68
2023,CAR,1. Own End (75-100),0.5747663551401869,-0.1678933493053719,0.3130841121495327,214
2023,CAR,2. Own Mid (50-74),0.5602409638554217,-0.10519278439583049,0.42168674698795183,332
2023,CAR,3. Opp Mid (25-49),0.5752212389380531,-0.28039793282826514,0.30973451327433627,226
2023,CAR,4. Red Zone (10-24),0.4166666666666667,-0.3619843954473647,0.3472222222222222,72
2023,CAR,5. Goal-to-Go (<10),0.4146341463414634,-0.07085813233031618,0.4634146341463415,41
2023,CHI,1. Own End (75-100),0.5032679738562091,-0.051082004730785995,0.41830065359477125,153
