season,posteam,game_script,pass_rate,plays
2023,NO,Trailing (8+),0.5797872340425532,188
2023,NYG,Leading (1-7),0.48366013071895425,153
2023,NYG,Leading (8+),0.7777777777777778,9
2023,NYG,Tied,0.5373134328358209,201
2023,NYG,Trailing (1-7),0.5714285714285714,252
2023,NYG,Trailing (8+),0.5245901639344263,122
2023,NYJ,Leading (1-7),0.4406779661016949,118
2023,NYJ,Leading (8+),0.5,6
2023,NYJ,Tied,0.581081081081081,148
2023,NYJ,Trailing (1-7),0.6508474576271186,295
2023,NYJ,Trailing (8+),0.6492146596858639,191
2023,PHI,Leading (1-7),0.5306859205776173,277
2023,PHI,Leading (8+),0.6379310344827587,58
2023,PHI,Tied,0.5411764705882353,255
2023,PHI,Trailing (1-7),0.5652173913043478,230
2023,PHI,Trailing (8+),0.6336633663366337,101
2023,PIT,Leading (1-7),0.46875,160
2023,PIT,Leading (8+),0.6,5
2023,PIT,Tied,0.47540983606557374,244
2023,PIT,Trailing (1-7),0.5445205479452054,292
2023,PIT,Trailing (8+),0.5912408759124088,137
2023,SEA,Leading (1-7),0.5721925133689839,187
2023,SEA,Leading (8+),0.47058823529411764,34
2023,SEA,Tied,0.5743589743589743,195
2023,SEA,Trailing (1-7),0.6683168316831684,404
2023,SEA,Trailing (8+),0.5925925925925926,54
2023,SF,Leading (1-7),0.5273311897106109,311
2023,SF,Leading (8+),0.6708860759493671,79
2023,SF,Tied,0.5327510917030568,229
2023,SF,Trailing (1-7),0.6195121951219512,205
2023,SF,Trailing (8+),0.5614035087719298,57
2023,TB,Leading (1-7),0.5458333333333333,240
2023,TB,Leading (8+),0.49019607843137253,51
2023,TB,Tied,0.603112840466926,257
2023,TB,Trailing (1-7),0.6156351791530945,307
2023,TB,Trailing (8+),0.6181818181818182,55
2023,TEN,Leading (1-7),0.5028901734104047,173
2023,TEN,Leading (8+),0.5,36
2023,TEN,Tied,0.5568627450980392,255
2023,TEN,Trailing (1-7),0.5536912751677853,298
2023,TEN,Trailing (8+),0.6222222222222222,45
2023,WAS,Leading (1-7),0.6423357664233577,137
2023,WAS,Leading (8+),0.6923076923076923,13
2023,WAS,Tied,0.657608695652174,184
2023,WAS,Trailing (1-7),0.6688963210702341,299
2023,WAS,Trailing (8+),0.6166666666666667,180
2024,ARI,Leading (1-7),0.5578231292517006,147
2024,ARI,Leading (8+),0.6060606060606061,33
2024,ARI,Tied,0.5833333333333334,204
2024,ARI,Trailing (1-7),0.5695067264573991,223
2024,ARI,Trailing (8+),0.6222222222222222,180
2024,ATL,Leading (1-7),0.4947916666666667,192
2024,ATL,Leading (8+),0.43478260869565216,23
2024,ATL,Tied,0.5478260869565217,230
2024,ATL,Trailing (1-7),0.6243654822335025,394
2024,ATL,Trailing (8+),0.5164835164835165,91
2024,BAL,Leading (1-7),0.45871559633027525,218
2024,BAL,Leading (8+),0.5540540540540541,74
2024,BAL,Tied,0.48760330578512395,242
2024,BAL,Trailing (1-7),0.5805084745762712,236
2024,BAL,Trailing (8+),0.5376344086021505,93
2024,BUF,Leading (1-7),0.5206896551724138,290
2024,BUF,Leading (8+),0.6136363636363636,44
2024,BUF,Tied,0.5888888888888889,180
2024,BUF,Trailing (1-7),0.50920245398773,326
2024,BUF,Trailing (8+),0.5465116279069767,86
2024,CAR,Leading (1-7),0.5092592592592593,108
2024,CAR,Leading (8+),0.6842105263157895,19
2024,CAR,Tied,0.5256410256410257,234
2024,CAR,Trailing (1-7),0.5921052631578947,228
2024,CAR,Trailing (8+),0.5833333333333334,120
2024,CHI,Leading (1-7),0.5238095238095238,126
2024,CHI,Leading (8+),0.6666666666666666,3
2024,CHI,Tied,0.5470085470085471,117
2024,CHI,Trailing (1-7),0.5814606741573034,356
2024,CHI,Trailing (8+),0.6078431372549019,153
2024,CIN,Leading (1-7),0.7164750957854407,261
2024,CIN,Leading (8+),0.6071428571428571,28
2024,CIN,Tied,0.6740506329113924,316
2024,CIN,Trailing (1-7),0.65625,224
2024,CIN,Trailing (8+),0.6833333333333333,60
2024,CLE,Leading (1-7),0.5360824742268041,97
2024,CLE,Leading (8+),0.875,8
2024,CLE,Tied,0.5376344086021505,186
2024,CLE,Trailing (1-7),0.6363636363636364,330
2024,CLE,Trailing (8+),0.6685393258426966,178
2024,DAL,Leading (1-7),0.595,200
2024,DAL,Leading (8+),0.6060606060606061,33
2024,DAL,Tied,0.608433734939759,166
2024,DAL,Trailing (1-7),0.5571428571428572,280
2024,DAL,Trailing (8+),0.6666666666666666,114
2024,DEN,Leading (1-7),0.5698924731182796,186
2024,DEN,Leading (8+),0.6986301369863014,73
2024,DEN,Tied,0.5845410628019324,207
2024,DEN,Trailing (1-7),0.5720338983050848,236
2024,DEN,Trailing (8+),0.4925373134328358,67
2024,DET,Leading (1-7),0.5272727272727272,220
2024,DET,Leading (8+),0.5978260869565217,92
2024,DET,Tied,0.4726027397260274,146
2024,DET,Trailing (1-7),0.5867768595041323,242
2024,DET,Trailing (8+),0.5371900826446281,121
2024,GB,Leading (1-7),0.503448275862069,145
2024,GB,Leading (8+),0.40425531914893614,94
2024,GB,Tied,0.4406779661016949,177
2024,GB,Trailing (1-7),0.5,216
2024,GB,Trailing (8+),0.5595238095238095,84
2024,HOU,Leading (1-7),0.5765472312703583,307
2024,HOU,Leading (8+),0.5903614457831325,83
2024,HOU,Tied,0.599009900990099,202
2024,HOU,Trailing (1-7),0.5769230769230769,286
2024,HOU,Trailing (8+),0.6455696202531646,79
2024,IND,Leading (1-7),0.5202020202020202,198
2024,IND,Leading (8+),0.47058823529411764,17
2024,IND,Tied,0.5117370892018779,213
2024,IND,Trailing (1-7),0.4948805460750853,293
2024,IND,Trailing (8+),0.5909090909090909,154
2024,JAX,Leading (1-7),0.5238095238095238,147
2024,JAX,Leading (8+),0.64,25
2024,JAX,Tied,0.5471698113207547,159
2024,JAX,Trailing (1-7),0.6061452513966481,358
2024,JAX,Trailing (8+),0.5581395348837209,86
2024,KC,Leading (1-7),0.6201550387596899,387
2024,KC,Leading (8+),0.525,40
2024,KC,Tied,0.5844748858447488,219
2024,KC,Trailing (1-7),0.593939393939394,330
2024,KC,Trailing (8+),0.6818181818181818,44
2024,LA,Leading (1-7),0.6014492753623188,138
2024,LA,Leading (8+),0.6052631578947368,38
2024,LA,Tied,0.5869565217391305,230
2024,LA,Trailing (1-7),0.5617433414043583,413
2024,LA,Trailing (8+),0.6164383561643836,146
2024,LAC,Leading (1-7),0.54337899543379,219
2024,LAC,Leading (8+),0.5714285714285714,77
2024,LAC,Tied,0.5454545454545454,198
2024,LAC,Trailing (1-7),0.6254416961130742,283
2024,LAC,Trailing (8+),0.5641025641025641,39
2024,LV,Leading (1-7),0.5870967741935483,155
2024,LV,Leading (8+),0.0,2
2024,LV,Tied,0.5660377358490566,159
