season,posteam,plays,pass_rate,run_rate,epa_per_play,success_rate,shotgun_rate,no_huddle_rate,epa_per_pass,pass_success_rate,pass_plays,epa_per_rush,rush_success_rate,rush_plays,pass_rate_pct,run_rate_pct,success_rate_pct,shotgun_rate_pct,no_huddle_rate_pct,pass_success_rate_pct,rush_success_rate_pct
2023,ARI,779,0.5224646983311938,0.47753530166880614,-0.062,0.4056482670089859,0.6854942233632862,0.055198973042362,-0.154,0.3931203931203931,407,0.038,0.41935483870967744,372,52.2,47.8,40.6,68.5,5.5,39.3,41.9
2023,ATL,924,0.5108225108225108,0.48917748917748916,-0.085,0.4069264069264069,0.7608225108225108,0.09740259740259741,-0.057,0.4427966101694915,472,-0.115,0.3694690265486726,452,51.1,48.9,40.7,76.1,9.7,44.3,36.9
2023,BAL,801,0.5480649188514357,0.4519350811485643,0.051,0.484394506866417,0.867665418227216,0.0749063670411985,0.065,0.47380410022779046,439,0.034,0.4972375690607735,362,54.8,45.2,48.4,86.8,7.5,47.4,49.7
2023,BUF,867,0.5755478662053056,0.4244521337946944,0.09,0.497116493656286,0.76239907727797,0.1314878892733564,0.072,0.48897795591182364,499,0.113,0.5081521739130435,368,57.6,42.4,49.7,76.2,13.1,48.9,50.8
2023,CAR,885,0.5491525423728814,0.45084745762711864,-0.184,0.36271186440677966,0.7977401129943503,0.08361581920903954,-0.256,0.345679012345679,486,-0.097,0.38345864661654133,399,54.9,45.1,36.3,79.8,8.4,34.6,38.3
2023,CHI,766,0.5169712793733682,0.4830287206266319,-0.013,0.42950391644908614,0.7571801566579635,0.05613577023498695,-0.069,0.4166666666666667,396,0.046,0.44324324324324327,370,51.7,48.3,43.0,75.7,5.6,41.7,44.3
2023,CIN,806,0.6513647642679901,0.34863523573200994,0.031,0.4491315136476427,0.8734491315136477,0.03225806451612903,0.051,0.4723809523809524,525,-0.006,0.40569395017793597,281,65.1,34.9,44.9,87.3,3.2,47.2,40.6
2023,CLE,877,0.5792474344355758,0.4207525655644242,-0.129,0.3956670467502851,0.6727480045610034,0.059293044469783354,-0.181,0.3799212598425197,508,-0.058,0.4173441734417344,369,57.9,42.1,39.6,67.3,5.9,38.0,41.7
2023,DAL,739,0.6170500676589986,0.38294993234100133,0.135,0.4844384303112314,0.6576454668470907,0.044654939106901215,0.215,0.49780701754385964,456,0.007,0.4628975265017668,283,61.7,38.3,48.4,65.8,4.5,49.8,46.3
2023,DEN,761,0.5624178712220762,0.4375821287779238,-0.072,0.4152431011826544,0.5821287779237845,0.1011826544021025,-0.103,0.397196261682243,428,-0.033,0.43843843843843844,333,56.2,43.8,41.5,58.2,10.1,39.7,43.8
2023,DET,788,0.567258883248731,0.43274111675126903,0.089,0.47081218274111675,0.5596446700507615,0.03934010152284264,0.172,0.5167785234899329,447,-0.02,0.41055718475073316,341,56.7,43.3,47.1,56.0,3.9,51.7,41.1
2023,GB,810,0.5790123456790124,0.42098765432098767,0.075,0.44938271604938274,0.7222222222222222,0.06296296296296296,0.147,0.464818763326226,469,-0.023,0.4281524926686217,341,57.9,42.1,44.9,72.2,6.3,46.5,42.8
2023,HOU,826,0.5750605326876513,0.42493946731234866,0.002,0.4225181598062954,0.5980629539951574,0.07142857142857142,0.068,0.45263157894736844,475,-0.088,0.3817663817663818,351,57.5,42.5,42.3,59.8,7.1,45.3,38.2
2023,IND,861,0.5528455284552846,0.44715447154471544,-0.005,0.42044134727061555,0.9094076655052264,0.1800232288037166,0.035,0.4369747899159664,476,-0.053,0.4,385,55.3,44.7,42.0,90.9,18.0,43.7,40.0
2023,JAX,811,0.6004932182490752,0.3995067817509248,-0.058,0.4401972872996301,0.815043156596794,0.05055487053020962,0.011,0.4887063655030801,487,-0.162,0.36728395061728397,324,60.0,40.0,44.0,81.5,5.1,48.9,36.7
2023,KC,860,0.6302325581395349,0.3697674418604651,0.032,0.44069767441860463,0.8348837209302326,0.023255813953488372,0.029,0.45387453874538747,542,0.039,0.41823899371069184,318,63.0,37.0,44.1,83.5,2.3,45.4,41.8
2023,LA,835,0.5832335329341317,0.4167664670658683,0.063,0.4622754491017964,0.6287425149700598,0.10059880239520957,0.101,0.47638603696098564,487,0.009,0.4425287356321839,348,58.3,41.7,46.2,62.9,10.1,47.6,44.3
2023,LAC,907,0.6152149944873209,0.38478500551267913,-0.042,0.4211686879823594,0.8125689084895259,0.16538037486218302,-0.006,0.43727598566308246,558,-0.099,0.3954154727793696,349,61.5,38.5,42.1,81.3,16.5,43.7,39.5
2023,LV,730,0.5780821917808219,0.42191780821917807,-0.108,0.40136986301369865,0.5273972602739726,0.052054794520547946,-0.117,0.4218009478672986,422,-0.096,0.37337662337662336,308,57.8,42.2,40.1,52.7,5.2,42.2,37.3
2023,MIA,713,0.6325385694249649,0.36746143057503505,0.122,0.48807854137447404,0.8330995792426368,0.04207573632538569,0.24,0.5254988913525499,451,-0.08,0.42366412213740456,262,63.3,36.7,48.8,83.3,4.2,52.5,42.4
2023,MIN,878,0.6378132118451025,0.3621867881548975,-0.054,0.4316628701594533,0.5478359908883826,0.13211845102505695,-0.056,0.43214285714285716,560,-0.052,0.4308176100628931,318,63.8,36.2,43.2,54.8,13.2,43.2,43.1
2023,NE,849,0.591283863368669,0.408716136631331,-0.168,0.38987043580683156,0.6537102473498233,0.0989399293286219,-0.236,0.3844621513944223,502,-0.07,0.3976945244956772,347,59.1,40.9,39.0,65.4,9.9,38.4,39.8
2023,NO,828,0.5869565217391305,0.41304347826086957,-0.021,0.428743961352657,0.6231884057971014,0.07608695652173914,0.006,0.44650205761316875,486,-0.06,0.40350877192982454,342,58.7,41.3,42.9,62.3,7.6,44.7,40.4
2023,NYG,737,0.5386702849389416,0.46132971506105835,-0.207,0.3677069199457259,0.7204884667571235,0.09633649932157395,-0.208,0.3778337531486146,397,-0.205,0.3558823529411765,340,53.9,46.1,36.8,72.0,9.6,37.8,35.6
2023,NYJ,758,0.6029023746701847,0.3970976253298153,-0.232,0.34564643799472294,0.5857519788918206,0.059366754617414245,-0.276,0.3479212253829322,457,-0.165,0.34219269102990035,301,60.3,39.7,34.6,58.6,5.9,34.8,34.2
2023,PHI,884,0.5531674208144797,0.4468325791855204,0.096,0.46945701357466063,0.9366515837104072,0.1583710407239819,0.143,0.4621676891615542,489,0.039,0.47848101265822784,395,55.3,44.7,46.9,93.7,15.8,46.2,47.8
2023,PIT,807,0.516728624535316,0.483271375464684,-0.074,0.41759603469640644,0.6790582403965304,0.04708798017348203,-0.112,0.4052757793764988,417,-0.034,0.4307692307692308,390,51.7,48.3,41.8,67.9,4.7,40.5,43.1
2023,SEA,874,0.61441647597254,0.38558352402745993,0.046,0.4450800915331808,0.7139588100686499,0.13615560640732266,0.087,0.4618249534450652,537,-0.019,0.41839762611275966,337,61.4,38.6,44.5,71.4,13.6,46.2,41.8
2023,SF,691,0.5600578871201157,0.4399421128798842,0.222,0.5282199710564399,0.6396526772793053,0.01447178002894356,0.3,0.5426356589147286,387,0.123,0.5098684210526315,304,56.0,44.0,52.8,64.0,1.4,54.3,51.0
2023,TB,808,0.5767326732673267,0.42326732673267325,-0.026,0.38985148514851486,0.724009900990099,0.07054455445544554,0.041,0.4291845493562232,466,-0.117,0.3362573099415205,342,57.7,42.3,39.0,72.4,7.1,42.9,33.6
2023,TEN,807,0.5452292441140025,0.4547707558859975,-0.033,0.39776951672862454,0.6158612143742255,0.03717472118959108,-0.056,0.39090909090909093,440,-0.006,0.40599455040871935,367,54.5,45.5,39.8,61.6,3.7,39.1,40.6
2023,WAS,813,0.6506765067650676,0.34932349323493234,-0.088,0.4218942189421894,0.8056580565805658,0.028290282902829027,-0.127,0.4158790170132325,529,-0.014,0.43309859154929575,284,65.1,34.9,42.2,80.6,2.8,41.6,43.3
2024,ARI,787,0.5844980940279543,0.4155019059720457,0.055,0.4625158831003812,0.7268106734434562,0.08259212198221093,0.037,0.47608695652173916,460,0.081,0.4434250764525994,327,58.4,41.6,46.3,72.7,8.3,47.6,44.3
2024,ATL,930,0.5634408602150538,0.43655913978494626,0.065,0.48494623655913977,0.8204301075268817,0.13870967741935483,0.085,0.48282442748091603,524,0.038,0.4876847290640394,406,56.3,43.7,48.5,82.0,13.9,48.3,48.8
2024,BAL,781,0.5326504481434059,0.4673495518565941,0.218,0.5019206145966709,0.7592829705505761,0.06402048655569782,0.325,0.5120192307692307,416,0.097,0.4904109589041096,365,53.3,46.7,50.2,75.9,6.4,51.2,49.0
