season,posteam,down,dist_bucket,pass_rate,plays
2023,CLE,1,Med-Short (3-5),0.5,4
2023,CLE,1,Medium (6-9),0.3,10
2023,CLE,1,Short (1-2),0.5,4
2023,CLE,2,Long (10+),0.6694214876033058,121
2023,CLE,2,Med-Short (3-5),0.35294117647058826,68
2023,CLE,2,Medium (6-9),0.6842105263157895,95
2023,CLE,2,Short (1-2),0.375,32
2023,CLE,3,Long (10+),0.967741935483871,62
2023,CLE,3,Med-Short (3-5),0.7333333333333333,45
2023,CLE,3,Medium (6-9),0.8823529411764706,51
2023,CLE,3,Short (1-2),0.2972972972972973,37
2023,CLE,4,Long (10+),1.0,1
2023,CLE,4,Med-Short (3-5),1.0,4
2023,CLE,4,Medium (6-9),1.0,1
2023,CLE,4,Short (1-2),0.18181818181818182,11
2023,DAL,1,Long (10+),0.532051282051282,312
2023,DAL,1,Med-Short (3-5),0.5,12
2023,DAL,1,Medium (6-9),0.5555555555555556,9
2023,DAL,1,Short (1-2),0.4,5
2023,DAL,2,Long (10+),0.7142857142857143,84
2023,DAL,2,Med-Short (3-5),0.6206896551724138,58
2023,DAL,2,Medium (6-9),0.7073170731707317,82
2023,DAL,2,Short (1-2),0.19230769230769232,26
2023,DAL,3,Long (10+),0.8205128205128205,39
2023,DAL,3,Med-Short (3-5),0.8181818181818182,44
2023,DAL,3,Medium (6-9),0.8888888888888888,36
2023,DAL,3,Short (1-2),0.4857142857142857,35
2023,DAL,4,Med-Short (3-5),1.0,1
2023,DAL,4,Medium (6-9),1.0,1
2023,DAL,4,Short (1-2),0.5384615384615384,13
2023,DEN,1,Long (10+),0.5080906148867314,309
2023,DEN,1,Med-Short (3-5),0.5454545454545454,11
2023,DEN,1,Medium (6-9),0.375,8
2023,DEN,1,Short (1-2),0.0,1
2023,DEN,2,Long (10+),0.5897435897435898,78
2023,DEN,2,Med-Short (3-5),0.45454545454545453,55
2023,DEN,2,Medium (6-9),0.6526315789473685,95
2023,DEN,2,Short (1-2),0.28,25
2023,DEN,3,Long (10+),0.8043478260869565,46
2023,DEN,3,Med-Short (3-5),0.7692307692307693,39
2023,DEN,3,Medium (6-9),0.9069767441860465,43
2023,DEN,3,Short (1-2),0.2894736842105263,38
2023,DEN,4,Med-Short (3-5),1.0,3
2023,DEN,4,Short (1-2),0.2,10
2023,DET,1,Long (10+),0.4859335038363171,391
2023,DET,1,Med-Short (3-5),0.0,10
2023,DET,1,Medium (6-9),0.25,12
2023,DET,1,Short (1-2),0.14285714285714285,7
2023,DET,2,Long (10+),0.7522935779816514,109
2023,DET,2,Med-Short (3-5),0.5230769230769231,65
2023,DET,2,Medium (6-9),0.5544554455445545,101
2023,DET,2,Short (1-2),0.47619047619047616,42
2023,DET,3,Long (10+),0.9183673469387755,49
2023,DET,3,Med-Short (3-5),0.75,52
2023,DET,3,Medium (6-9),0.875,40
2023,DET,3,Short (1-2),0.48717948717948717,39
2023,DET,4,Long (10+),1.0,2
2023,DET,4,Med-Short (3-5),0.7777777777777778,9
2023,DET,4,Short (1-2),0.5,16
2023,GB,1,Long (10+),0.4959785522788204,373
2023,GB,1,Med-Short (3-5),0.1,10
2023,GB,1,Medium (6-9),0.25,8
2023,GB,1,Short (1-2),0.0,2
2023,GB,2,Long (10+),0.7157894736842105,95
2023,GB,2,Med-Short (3-5),0.4166666666666667,72
2023,GB,2,Medium (6-9),0.6037735849056604,106
2023,GB,2,Short (1-2),0.36666666666666664,30
2023,GB,3,Long (10+),0.8444444444444444,45
2023,GB,3,Med-Short (3-5),0.9512195121951219,41
2023,GB,3,Medium (6-9),0.9629629629629629,54
2023,GB,3,Short (1-2),0.3333333333333333,51
2023,GB,4,Long (10+),1.0,1
2023,GB,4,Med-Short (3-5),1.0,1
2023,GB,4,Medium (6-9),1.0,1
2023,GB,4,Short (1-2),0.75,12
2023,HOU,1,Long (10+),0.45187165775401067,374
2023,HOU,1,Med-Short (3-5),0.25,8
2023,HOU,1,Medium (6-9),0.25,8
2023,HOU,1,Short (1-2),0.14285714285714285,7
2023,HOU,2,Long (10+),0.6822429906542056,107
2023,HOU,2,Med-Short (3-5),0.45454545454545453,66
2023,HOU,2,Medium (6-9),0.696969696969697,99
2023,HOU,2,Short (1-2),0.36,25
2023,HOU,3,Long (10+),0.8983050847457628,59
2023,HOU,3,Med-Short (3-5),0.8717948717948718,39
2023,HOU,3,Medium (6-9),0.9661016949152542,59
2023,HOU,3,Short (1-2),0.5151515151515151,33
2023,HOU,4,Medium (6-9),1.0,1
2023,HOU,4,Short (1-2),0.2222222222222222,9
2023,IND,1,Long (10+),0.4444444444444444,351
2023,IND,1,Med-Short (3-5),0.2,10
2023,IND,1,Medium (6-9),0.14285714285714285,7
2023,IND,1,Short (1-2),0.2,5
2023,IND,2,Long (10+),0.826530612244898,98
2023,IND,2,Med-Short (3-5),0.3114754098360656,61
2023,IND,2,Medium (6-9),0.6568627450980392,102
2023,IND,2,Short (1-2),0.18181818181818182,22
2023,IND,3,Long (10+),0.8444444444444444,45
2023,IND,3,Med-Short (3-5),0.8,40
2023,IND,3,Medium (6-9),0.8727272727272727,55
2023,IND,3,Short (1-2),0.30434782608695654,46
2023,IND,4,Med-Short (3-5),1.0,3
2023,IND,4,Medium (6-9),1.0,1
2023,IND,4,Short (1-2),0.6,15
2023,JAX,1,Long (10+),0.4716417910447761,335
2023,JAX,1,Med-Short (3-5),0.6,5
2023,JAX,1,Medium (6-9),0.4444444444444444,9
2023,JAX,1,Short (1-2),0.0,9
2023,JAX,2,Long (10+),0.8469387755102041,98
2023,JAX,2,Med-Short (3-5),0.3559322033898305,59
2023,JAX,2,Medium (6-9),0.7209302325581395,86
2023,JAX,2,Short (1-2),0.46875,32
2023,JAX,3,Long (10+),0.875,40
2023,JAX,3,Med-Short (3-5),0.9024390243902439,41
2023,JAX,3,Medium (6-9),0.9,40
2023,JAX,3,Short (1-2),0.5681818181818182,44
2023,JAX,4,Long (10+),1.0,1
2023,JAX,4,Med-Short (3-5),1.0,1
2023,JAX,4,Short (1-2),0.5454545454545454,11
2023,KC,1,Long (10+),0.5379609544468547,461
2023,KC,1,Med-Short (3-5),0.5333333333333333,15
2023,KC,1,Medium (6-9),0.6666666666666666,12
2023,KC,1,Short (1-2),0.16666666666666666,6
2023,KC,2,Long (10+),0.71875,128
2023,KC,2,Med-Short (3-5),0.5333333333333333,60
2023,KC,2,Medium (6-9),0.7443609022556391,133
2023,KC,2,Short (1-2),0.20588235294117646,34
2023,KC,3,Long (10+),0.9122807017543859,57
2023,KC,3,Med-Short (3-5),0.8703703703703703,54
2023,KC,3,Medium (6-9),0.921875,64
2023,KC,3,Short (1-2),0.4375,48
2023,KC,4,Long (10+),1.0,3
2023,KC,4,Med-Short (3-5),0.5,4
2023,KC,4,Short (1-2),0.3,10
2023,LA,1,Long (10+),0.4880636604774536,377
2023,LA,1,Med-Short (3-5),0.2727272727272727,11
2023,LA,1,Medium (6-9),0.25,12
2023,LA,1,Short (1-2),0.25,4
2023,LA,2,Long (10+),0.75,100
2023,LA,2,Med-Short (3-5),0.5584415584415584,77
2023,LA,2,Medium (6-9),0.6630434782608695,92
2023,LA,2,Short (1-2),0.32,25
2023,LA,3,Long (10+),0.8235294117647058,51
2023,LA,3,Med-Short (3-5),0.8958333333333334,48
2023,LA,3,Medium (6-9),0.9534883720930233,43
2023,LA,3,Short (1-2),0.32432432432432434,37
2023,LA,4,Med-Short (3-5),1.0,4
2023,LA,4,Short (1-2),0.5555555555555556,9
2023,LAC,1,Long (10+),0.5322128851540616,357
2023,LAC,1,Med-Short (3-5),0.375,8
2023,LAC,1,Medium (6-9),0.35714285714285715,14
2023,LAC,1,Short (1-2),0.4,5
2023,LAC,2,Long (10+),0.7956989247311828,93
2023,LAC,2,Med-Short (3-5),0.4647887323943662,71
2023,LAC,2,Medium (6-9),0.7053571428571429,112
2023,LAC,2,Short (1-2),0.2,30
2023,LAC,3,Long (10+),0.918918918918919,37
2023,LAC,3,Med-Short (3-5),0.78,50
2023,LAC,3,Medium (6-9),0.9193548387096774,62
2023,LAC,3,Short (1-2),0.4666666666666667,45
2023,LAC,4,Long (10+),1.0,1
2023,LAC,4,Med-Short (3-5),1.0,3
2023,LAC,4,Medium (6-9),1.0,2
2023,LAC,4,Short (1-2),0.5294117647058824,17
2023,LV,1,Long (10+),0.5067114093959731,298
2023,LV,1,Med-Short (3-5),0.16666666666666666,6
2023,LV,1,Medium (6-9),0.0,5
2023,LV,1,Short (1-2),0.0,5
2023,LV,2,Long (10+),0.7191011235955056,89
2023,LV,2,Med-Short (3-5),0.3584905660377358,53
2023,LV,2,Medium (6-9),0.6190476190476191,84
2023,LV,2,Short (1-2),0.17391304347826086,23
2023,LV,3,Long (10+),0.9310344827586207,29
2023,LV,3,Med-Short (3-5),0.9,50
2023,LV,3,Medium (6-9),0.9090909090909091,44
2023,LV,3,Short (1-2),0.3939393939393939,33
2023,LV,4,Long (10+),1.0,1
2023,LV,4,Med-Short (3-5),1.0,1
2023,LV,4,Medium (6-9),1.0,1
2023,LV,4,Short (1-2),0.375,8
2023,MIA,1,Long (10+),0.515625,320
2023,MIA,1,Med-Short (3-5),0.4166666666666667,12
2023,MIA,1,Medium (6-9),0.25,12
2023,MIA,1,Short (1-2),0.5,8
2023,MIA,2,Long (10+),0.726027397260274,73
2023,MIA,2,Med-Short (3-5),0.5094339622641509,53
2023,MIA,2,Medium (6-9),0.7078651685393258,89
2023,MIA,2,Short (1-2),0.5357142857142857,28
2023,MIA,3,Long (10+),0.9736842105263158,38
2023,MIA,3,Med-Short (3-5),0.8888888888888888,36
2023,MIA,3,Medium (6-9),1.0,40
2023,MIA,3,Short (1-2),0.5217391304347826,23
2023,MIA,4,Med-Short (3-5),0.75,4
2023,MIA,4,Medium (6-9),1.0,1
2023,MIA,4,Short (1-2),0.8571428571428571,7
2023,MIN,1,Long (10+),0.5318559556786704,361
2023,MIN,1,Med-Short (3-5),0.42857142857142855,7
2023,MIN,1,Medium (6-9),0.7272727272727273,11
2023,MIN,1,Short (1-2),0.2857142857142857,7
2023,MIN,2,Long (10+),0.7019230769230769,104
2023,MIN,2,Med-Short (3-5),0.5161290322580645,62
2023,MIN,2,Medium (6-9),0.7666666666666667,90
2023,MIN,2,Short (1-2),0.47058823529411764,34
2023,MIN,3,Long (10+),0.8222222222222222,45
2023,MIN,3,Med-Short (3-5),0.9555555555555556,45
