season,posteam,down,dist_bucket,pass_rate,epa,success,plays
2023,ARI,1,Long (10+),0.4517133956386293,-0.02849982365282137,0.40186915887850466,321
2023,ARI,1,Med-Short (3-5),0.2857142857142857,-0.17658546905191283,0.35714285714285715,14
2023,ARI,1,Medium (6-9),0.3333333333333333,-0.04611639888995948,0.3333333333333333,6
2023,ARI,1,Short (1-2),0.25,-0.08158471721981186,0.25,4
2023,ARI,2,Long (10+),0.5047619047619047,-0.1439772349057278,0.3047619047619048,105
2023,ARI,2,Med-Short (3-5),0.5531914893617021,-0.1672566237684805,0.44680851063829785,47
2023,ARI,2,Medium (6-9),0.5194805194805194,0.19291969644685894,0.5194805194805194,77
2023,ARI,2,Short (1-2),0.12,0.38661613287520596,0.64,25
2023,ARI,3,Long (10+),0.7450980392156863,-0.4850738884770951,0.17647058823529413,51
2023,ARI,3,Med-Short (3-5),0.8205128205128205,0.23120014374553202,0.48717948717948717,39
2023,ARI,3,Medium (6-9),0.9333333333333333,-0.20812375647680031,0.37777777777777777,45
2023,ARI,3,Short (1-2),0.36,0.10908136288231213,0.68,25
2023,ARI,4,Long (10+),1.0,-1.3953878183092456,0.0,2
2023,ARI,4,Med-Short (3-5),1.0,-1.4489320477296133,0.3333333333333333,6
2023,ARI,4,Medium (6-9),0.5,0.6901263063336955,0.5,4
2023,ARI,4,Short (1-2),0.25,-0.8376344153366517,0.5,8
2023,ATL,1,Long (10+),0.4073107049608355,-0.10777927052456698,0.3733681462140992,383
2023,ATL,1,Med-Short (3-5),0.25,0.08581874234444886,0.3333333333333333,12
2023,ATL,1,Medium (6-9),0.2222222222222222,0.05224975338852447,0.4444444444444444,9
2023,ATL,1,Short (1-2),0.5,-3.2393282271077624,0.0,2
2023,ATL,2,Long (10+),0.5728155339805825,-0.18418615683574158,0.36893203883495146,103
2023,ATL,2,Med-Short (3-5),0.3559322033898305,-0.07373011170716767,0.4745762711864407,59
2023,ATL,2,Medium (6-9),0.6271186440677966,0.16118885751773104,0.4576271186440678,118
2023,ATL,2,Short (1-2),0.3548387096774194,-0.13029032518557693,0.45161290322580644,31
2023,ATL,3,Long (10+),0.9333333333333333,-0.35702364611698423,0.28888888888888886,45
2023,ATL,3,Med-Short (3-5),0.6595744680851063,0.2725612949279785,0.5106382978723404,47
2023,ATL,3,Medium (6-9),0.8636363636363636,-0.03220141279984955,0.42424242424242425,66
2023,ATL,3,Short (1-2),0.2777777777777778,-0.27504266028855784,0.5555555555555556,36
2023,ATL,4,Med-Short (3-5),0.6,-1.545905739767477,0.2,5
2023,ATL,4,Short (1-2),0.25,-0.15804296032729326,0.625,8
2023,BAL,1,Long (10+),0.4885057471264368,0.06093585524501005,0.45689655172413796,348
2023,BAL,1,Med-Short (3-5),0.1111111111111111,0.24420715648577446,0.5555555555555556,9
2023,BAL,1,Medium (6-9),0.14285714285714285,-0.051302380086521486,0.5714285714285714,7
2023,BAL,1,Short (1-2),0.0,-0.8391845488901405,0.3333333333333333,3
2023,BAL,2,Long (10+),0.7349397590361446,0.15551455920500434,0.4939759036144578,83
2023,BAL,2,Med-Short (3-5),0.3870967741935484,-0.340660368546284,0.46774193548387094,62
2023,BAL,2,Medium (6-9),0.6224489795918368,0.1738660870982947,0.5306122448979592,98
2023,BAL,2,Short (1-2),0.3333333333333333,0.28425944131298886,0.7777777777777778,27
2023,BAL,3,Long (10+),0.7941176470588235,-0.08132481482637413,0.35294117647058826,34
2023,BAL,3,Med-Short (3-5),0.7380952380952381,0.04894404852532789,0.47619047619047616,42
2023,BAL,3,Medium (6-9),0.8979591836734694,-0.14719722834386142,0.3469387755102041,49
2023,BAL,3,Short (1-2),0.1935483870967742,0.2263384422577321,0.7419354838709677,31
2023,BAL,4,Long (10+),1.0,-0.5928549419040792,0.0,1
2023,BAL,4,Med-Short (3-5),1.0,-2.1228769698063843,0.0,1
2023,BAL,4,Medium (6-9),1.0,6.07007391366642,1.0,1
2023,BAL,4,Short (1-2),0.2,0.2789893539389595,0.6,5
2023,BUF,1,Long (10+),0.5067385444743935,-0.01403484385111683,0.46630727762803237,371
2023,BUF,1,Med-Short (3-5),0.14285714285714285,0.0602945464738046,0.5714285714285714,7
2023,BUF,1,Medium (6-9),0.1,0.15053087829728612,0.5,10
2023,BUF,1,Short (1-2),0.0,0.1076722188910935,0.4,5
2023,BUF,2,Long (10+),0.8045977011494253,0.18326300921135358,0.41379310344827586,87
2023,BUF,2,Med-Short (3-5),0.43283582089552236,0.21912163525121287,0.6268656716417911,67
2023,BUF,2,Medium (6-9),0.7254901960784313,0.18937378929866314,0.4803921568627451,102
2023,BUF,2,Short (1-2),0.2972972972972973,0.23453399416364454,0.6756756756756757,37
2023,BUF,3,Long (10+),0.8648648648648649,-0.22738501282722018,0.2972972972972973,37
2023,BUF,3,Med-Short (3-5),0.8108108108108109,0.13530614391720422,0.5675675675675675,37
2023,BUF,3,Medium (6-9),0.8846153846153846,0.30067815651752655,0.46153846153846156,52
2023,BUF,3,Short (1-2),0.20454545454545456,0.2600701888361734,0.75,44
2023,BUF,4,Short (1-2),0.7272727272727273,-0.17178047492846168,0.5454545454545454,11
2023,CAR,1,Long (10+),0.45014245014245013,-0.17218823682281661,0.3418803418803419,351
2023,CAR,1,Med-Short (3-5),0.2,-0.16821643447037787,0.4,5
2023,CAR,1,Medium (6-9),0.5,0.1383813146094326,0.375,8
2023,CAR,1,Short (1-2),0.0,0.02563836588524282,0.5,2
2023,CAR,2,Long (10+),0.7264150943396226,-0.31335203870671186,0.29245283018867924,106
2023,CAR,2,Med-Short (3-5),0.32,0.025863314433954655,0.48,50
2023,CAR,2,Medium (6-9),0.5145631067961165,-0.11091619037833174,0.39805825242718446,103
2023,CAR,2,Short (1-2),0.25,-0.17432628537478326,0.4642857142857143,28
2023,CAR,3,Long (10+),0.9365079365079365,-0.2474723899216347,0.20634920634920634,63
2023,CAR,3,Med-Short (3-5),0.7555555555555555,0.04456701654881506,0.5111111111111111,45
2023,CAR,3,Medium (6-9),0.8679245283018868,-0.5576760601332751,0.24528301886792453,53
2023,CAR,3,Short (1-2),0.3181818181818182,-0.29350628188911193,0.5227272727272727,44
2023,CAR,4,Long (10+),1.0,-0.3537303633056581,0.0,2
2023,CAR,4,Med-Short (3-5),1.0,3.3372932047059294,1.0,4
2023,CAR,4,Medium (6-9),1.0,-1.3266952351259533,0.25,4
2023,CAR,4,Short (1-2),0.4117647058823529,-0.3600748588043429,0.5294117647058824,17
2023,CHI,1,Long (10+),0.4634920634920635,-0.028080427442187077,0.4095238095238095,315
2023,CHI,1,Med-Short (3-5),0.5,0.09097835321639043,0.5,6
2023,CHI,1,Medium (6-9),0.3333333333333333,0.4517936465304552,0.6666666666666666,9
2023,CHI,1,Short (1-2),0.0,0.15226746713160538,0.6,5
2023,CHI,2,Long (10+),0.5416666666666666,-0.24089231097210964,0.3645833333333333,96
2023,CHI,2,Med-Short (3-5),0.37735849056603776,-0.0813784131534257,0.4716981132075472,53
2023,CHI,2,Medium (6-9),0.49382716049382713,0.09777637360614644,0.4444444444444444,81
2023,CHI,2,Short (1-2),0.3157894736842105,-0.041300629755776176,0.631578947368421,19
2023,CHI,3,Long (10+),0.8163265306122449,-0.27945767378810615,0.20408163265306123,49
2023,CHI,3,Med-Short (3-5),0.6829268292682927,0.6689551342897387,0.6341463414634146,41
2023,CHI,3,Medium (6-9),0.875,-0.3081914939400254,0.3333333333333333,48
2023,CHI,3,Short (1-2),0.2962962962962963,-0.010057422838038895,0.6666666666666666,27
2023,CHI,4,Long (10+),1.0,2.9050803717109375,0.5,4
2023,CHI,4,Med-Short (3-5),1.0,1.180307207396254,0.5,2
2023,CHI,4,Short (1-2),0.18181818181818182,0.07303272778782147,0.6363636363636364,11
2023,CIN,1,Long (10+),0.5578635014836796,0.030542882120662345,0.43026706231454004,337
2023,CIN,1,Med-Short (3-5),0.6666666666666666,-0.6820892918880822,0.3333333333333333,9
2023,CIN,1,Medium (6-9),0.45454545454545453,0.21602235336534,0.45454545454545453,11
2023,CIN,1,Short (1-2),0.2857142857142857,0.05352922189714653,0.42857142857142855,7
2023,CIN,2,Long (10+),0.7831325301204819,0.02619338821983021,0.3493975903614458,83
2023,CIN,2,Med-Short (3-5),0.5192307692307693,-0.23744630575283038,0.5,52
2023,CIN,2,Medium (6-9),0.75,0.20006975177910555,0.5480769230769231,104
2023,CIN,2,Short (1-2),0.5357142857142857,0.11425715385121293,0.5357142857142857,28
2023,CIN,3,Long (10+),0.9047619047619048,-0.24861333991873355,0.23809523809523808,42
2023,CIN,3,Med-Short (3-5),0.9473684210526315,-0.004832452372384177,0.5,38
2023,CIN,3,Medium (6-9),0.8888888888888888,-0.11647261360457442,0.35555555555555557,45
2023,CIN,3,Short (1-2),0.5,0.44908299559582787,0.7,40
2023,CIN,4,Med-Short (3-5),1.0,0.11403775874350686,0.5,4
2023,CIN,4,Short (1-2),0.16666666666666666,0.25226632799118914,0.6666666666666666,6
2023,CLE,1,Long (10+),0.5028409090909091,-0.09858842416418735,0.39488636363636365,352
2023,CLE,1,Med-Short (3-5),0.5,-0.3870619793451624,0.0,4
2023,CLE,1,Medium (6-9),0.3333333333333333,0.44020360431750305,0.5555555555555556,9
2023,CLE,1,Short (1-2),0.5,-0.38988095377135323,0.0,4
2023,CLE,2,Long (10+),0.6610169491525424,-0.08615572752081621,0.3728813559322034,118
2023,CLE,2,Med-Short (3-5),0.3333333333333333,0.011796501993168411,0.49206349206349204,63
