season,posteam,formation,plays,epa,pass_rate,success,usage_pct
2023,CHI,Under Center,176,0.014366636954336308,0.22727272727272727,0.4431818181818182,23.0
2023,CIN,No-Huddle Shotgun,25,-0.24760285168187693,0.84,0.56,3.1
2023,CIN,No-Huddle UC,1,-0.18938823440112174,1.0,0.0,0.1
2023,CIN,Shotgun,679,0.0293809732271519,0.6921944035346097,0.44624447717231225,84.2
2023,CIN,Under Center,101,0.11123348868269137,0.32673267326732675,0.44554455445544555,12.5
2023,CLE,No-Huddle Shotgun,39,-0.1014317040770458,0.6666666666666666,0.46153846153846156,4.4
2023,CLE,No-Huddle UC,13,-0.30868725169253036,0.3076923076923077,0.3076923076923077,1.5
2023,CLE,Shotgun,551,-0.16417005237646667,0.7041742286751361,0.38656987295825773,62.8
2023,CLE,Under Center,274,-0.05329171612326257,0.3284671532846715,0.40875912408759124,31.2
2023,DAL,No-Huddle Shotgun,19,0.14422038657817451,0.8947368421052632,0.42105263157894735,2.6
2023,DAL,No-Huddle UC,14,0.41473378594673704,0.35714285714285715,0.6428571428571429,1.9
2023,DAL,Shotgun,467,0.2647681093773105,0.7537473233404711,0.5010706638115632,63.2
2023,DAL,Under Center,239,-0.13489513392489527,0.34309623430962344,0.4476987447698745,32.3
2023,DEN,No-Huddle Shotgun,62,-0.13884037145750752,0.8548387096774194,0.45161290322580644,8.1
2023,DEN,No-Huddle UC,15,-0.42733690768557914,0.2,0.26666666666666666,2.0
2023,DEN,Shotgun,381,-0.08327230372310931,0.7454068241469817,0.4068241469816273,50.1
2023,DEN,Under Center,303,-0.027387643560863994,0.29042904290429045,0.42574257425742573,39.8
2023,DET,No-Huddle Shotgun,23,0.031965936140572325,0.8260869565217391,0.5217391304347826,2.9
2023,DET,No-Huddle UC,8,-0.0055477523419540375,0.375,0.25,1.0
2023,DET,Shotgun,418,0.09863337206551082,0.7511961722488039,0.48325358851674644,53.0
2023,DET,Under Center,339,0.08365306408567666,0.3274336283185841,0.45722713864306785,43.0
2023,GB,No-Huddle Shotgun,43,0.26478520101425757,0.7441860465116279,0.5581395348837209,5.3
2023,GB,No-Huddle UC,8,-0.4650173553454806,0.375,0.25,1.0
2023,GB,Shotgun,542,0.06815164984434548,0.6383763837638377,0.4225092250922509,66.9
2023,GB,Under Center,217,0.07549708990723902,0.4055299539170507,0.5023041474654378,26.8
2023,HOU,No-Huddle Shotgun,38,0.410988932045849,0.9736842105263158,0.5263157894736842,4.6
2023,HOU,No-Huddle UC,21,0.02668289709286119,0.23809523809523808,0.5238095238095238,2.5
2023,HOU,Shotgun,456,-0.0323329973991471,0.7456140350877193,0.42105263157894735,55.2
2023,HOU,Under Center,311,-0.0005528296764460083,0.2990353697749196,0.40514469453376206,37.7
2023,IND,No-Huddle Shotgun,152,0.16039774073425705,0.375,0.5197368421052632,17.7
2023,IND,No-Huddle UC,3,-1.8639675525094692,0.0,0.0,0.3
2023,IND,Shotgun,631,-0.04976243133484009,0.6323296354992076,0.3977812995245642,73.3
2023,IND,Under Center,75,0.11565190640720639,0.26666666666666666,0.4266666666666667,8.7
2023,JAX,No-Huddle Shotgun,41,-0.25011267661253306,0.6097560975609756,0.4634146341463415,5.1
2023,JAX,Shotgun,620,-0.04281780498615993,0.667741935483871,0.4467741935483871,76.4
2023,JAX,Under Center,150,-0.06763731890630717,0.32,0.4066666666666667,18.5
2023,KC,No-Huddle Shotgun,20,0.2733189301987295,0.7,0.5,2.3
2023,KC,Shotgun,698,0.019330166601070578,0.6790830945558739,0.44412607449856734,81.2
2023,KC,Under Center,142,0.062457256064205886,0.38028169014084506,0.4154929577464789,16.5
2023,LA,No-Huddle Shotgun,67,-0.01922760365410783,0.8955223880597015,0.373134328358209,8.0
2023,LA,No-Huddle UC,17,0.40778634423280463,0.4117647058823529,0.5882352941176471,2.0
2023,LA,Shotgun,458,0.08094863680921306,0.7379912663755459,0.48034934497816595,54.9
2023,LA,Under Center,293,0.032610410773558376,0.27986348122866894,0.447098976109215,35.1
2023,LAC,No-Huddle Shotgun,134,0.11759399874245026,0.6716417910447762,0.5,14.8
2023,LAC,No-Huddle UC,16,-0.20198605835685157,0.5625,0.375,1.8
2023,LAC,Shotgun,603,-0.05221118997276373,0.703150912106136,0.417910447761194,66.5
2023,LAC,Under Center,154,-0.12426947132917121,0.22727272727272727,0.37012987012987014,17.0
2023,LV,No-Huddle Shotgun,30,-0.08940769530211885,0.7666666666666667,0.36666666666666664,4.1
2023,LV,No-Huddle UC,8,-0.6243220019096043,0.0,0.375,1.1
2023,LV,Shotgun,355,-0.1792496862605859,0.8084507042253521,0.39154929577464787,48.6
2023,LV,Under Center,337,-0.021777398034988522,0.3323442136498516,0.41543026706231456,46.2
2023,MIA,No-Huddle Shotgun,27,0.2630946190102905,0.9629629629629629,0.7037037037037037,3.8
2023,MIA,No-Huddle UC,3,0.40869580500293523,0.0,0.6666666666666666,0.4
2023,MIA,Shotgun,567,0.1542069572558847,0.6948853615520282,0.49382716049382713,79.5
2023,MIA,Under Center,116,-0.07480048423014643,0.2672413793103448,0.4051724137931034,16.3
2023,MIN,No-Huddle Shotgun,72,0.32912603461432044,0.7222222222222222,0.5277777777777778,8.2
2023,MIN,No-Huddle UC,44,-0.24667135411370758,0.5909090909090909,0.4318181818181818,5.0
2023,MIN,Shotgun,409,-0.09510851241442177,0.8190709046454768,0.41075794621026895,46.6
2023,MIN,Under Center,353,-0.06172625239001569,0.4164305949008499,0.43626062322946174,40.2
2023,NE,No-Huddle Shotgun,72,-0.187436809768163,0.625,0.3194444444444444,8.5
2023,NE,No-Huddle UC,12,0.10032187850447372,0.3333333333333333,0.5,1.4
2023,NE,Shotgun,483,-0.20974526511450578,0.7474120082815735,0.38509316770186336,56.9
2023,NE,Under Center,282,-0.1040649307004328,0.3262411347517731,0.41134751773049644,33.2
2023,NO,No-Huddle Shotgun,56,-0.0634706354360621,0.9107142857142857,0.4107142857142857,6.8
2023,NO,No-Huddle UC,7,0.0856988462370022,0.5714285714285714,0.5714285714285714,0.8
2023,NO,Shotgun,460,-0.05731580273223185,0.7652173913043478,0.43478260869565216,55.6
2023,NO,Under Center,305,0.03871018812720795,0.25901639344262295,0.419672131147541,36.8
2023,NYG,No-Huddle Shotgun,60,-0.17166507756291985,0.6166666666666667,0.38333333333333336,8.1
2023,NYG,No-Huddle UC,11,-0.4892927610146051,0.18181818181818182,0.18181818181818182,1.5
2023,NYG,Shotgun,471,-0.14307913896412652,0.6348195329087049,0.37579617834394907,63.9
2023,NYG,Under Center,195,-0.3559306894919948,0.30256410256410254,0.35384615384615387,26.5
2023,NYJ,No-Huddle Shotgun,34,-0.12837664366487966,0.8235294117647058,0.5,4.5
2023,NYJ,No-Huddle UC,11,-0.5754382102961906,0.6363636363636364,0.2727272727272727,1.5
2023,NYJ,Shotgun,410,-0.2834704302065226,0.7682926829268293,0.32439024390243903,54.1
2023,NYJ,Under Center,303,-0.16167821257696763,0.35313531353135313,0.35973597359735976,40.0
2023,PHI,No-Huddle Shotgun,128,0.018165239312024947,0.5078125,0.53125,14.5
2023,PHI,No-Huddle UC,12,0.7609549057330393,0.0,0.9166666666666666,1.4
2023,PHI,Shotgun,700,0.08298217110948058,0.5985714285714285,0.44142857142857145,79.2
2023,PHI,Under Center,44,0.3570549352503308,0.11363636363636363,0.6136363636363636,5.0
2023,PIT,No-Huddle Shotgun,29,-0.4210507043322211,0.7586206896551724,0.3103448275862069,3.6
2023,PIT,No-Huddle UC,9,-0.49182995388077366,0.0,0.4444444444444444,1.1
2023,PIT,Shotgun,519,-0.09973334757652477,0.674373795761079,0.4161849710982659,64.3
2023,PIT,Under Center,250,0.03402868994088604,0.18,0.432,31.0
