season,posteam,play_type,field_zone,epa,success,plays
2023,ARI,pass,1. Own End (75-100),-0.20698817584096246,0.34951456310679613,103
2023,ARI,pass,2. Own Mid (50-74),-0.10715435377732144,0.44755244755244755,143
2023,ARI,pass,3. Opp Mid (25-49),-0.12533235918348015,0.3942307692307692,104
2023,ARI,pass,4. Red Zone (10-24),-0.6562984963134766,0.24390243902439024,41
2023,ARI,pass,5. Goal-to-Go (<10),0.8735296156449586,0.5625,16
2023,ARI,run,1. Own End (75-100),-0.08960855373756048,0.35106382978723405,94
2023,ARI,run,2. Own Mid (50-74),0.060707023568276286,0.4444444444444444,117
2023,ARI,run,3. Opp Mid (25-49),0.116629231079264,0.41304347826086957,92
2023,ARI,run,4. Red Zone (10-24),0.07770431897948066,0.5,40
2023,ARI,run,5. Goal-to-Go (<10),0.05600140963172449,0.4482758620689655,29
2023,ATL,pass,1. Own End (75-100),-0.01730437438593137,0.43243243243243246,111
2023,ATL,pass,2. Own Mid (50-74),0.059525688639727466,0.4426229508196721,183
2023,ATL,pass,3. Opp Mid (25-49),-0.1691927308098663,0.4774774774774775,111
2023,ATL,pass,4. Red Zone (10-24),-0.2261068313134358,0.4222222222222222,45
2023,ATL,pass,5. Goal-to-Go (<10),-0.3047113502422718,0.36363636363636365,22
2023,ATL,run,1. Own End (75-100),-0.2719376554287381,0.2857142857142857,98
2023,ATL,run,2. Own Mid (50-74),-0.05445350902498996,0.38636363636363635,132
2023,ATL,run,3. Opp Mid (25-49),-0.08045425095646333,0.3939393939393939,132
2023,ATL,run,4. Red Zone (10-24),-0.1417291266152584,0.38095238095238093,63
2023,ATL,run,5. Goal-to-Go (<10),0.044395913747584975,0.4444444444444444,27
2023,BAL,pass,1. Own End (75-100),0.22394925628678822,0.5555555555555556,72
2023,BAL,pass,2. Own Mid (50-74),0.0296056688375136,0.4858757062146893,177
2023,BAL,pass,3. Opp Mid (25-49),-0.01695540379443098,0.4409448818897638,127
2023,BAL,pass,4. Red Zone (10-24),0.19721054796188442,0.40816326530612246,49
2023,BAL,pass,5. Goal-to-Go (<10),-0.03494540638851884,0.42857142857142855,14
2023,BAL,run,1. Own End (75-100),0.050328817118757536,0.45454545454545453,77
2023,BAL,run,2. Own Mid (50-74),-0.09547226571836896,0.4583333333333333,120
2023,BAL,run,3. Opp Mid (25-49),0.12179601601042271,0.5555555555555556,81
2023,BAL,run,4. Red Zone (10-24),0.04190569283174006,0.46,50
2023,BAL,run,5. Goal-to-Go (<10),0.23842757889078595,0.6470588235294118,34
2023,BUF,pass,1. Own End (75-100),0.1732807518000658,0.5454545454545454,99
2023,BUF,pass,2. Own Mid (50-74),0.09118938796587905,0.5,184
2023,BUF,pass,3. Opp Mid (25-49),0.07970082200882525,0.5151515151515151,132
2023,BUF,pass,4. Red Zone (10-24),-0.08811205358035872,0.31666666666666665,60
2023,BUF,pass,5. Goal-to-Go (<10),-0.1259346311276516,0.4583333333333333,24
2023,BUF,run,1. Own End (75-100),-0.14800871675063665,0.4117647058823529,68
2023,BUF,run,2. Own Mid (50-74),0.10031532505719384,0.48623853211009177,109
2023,BUF,run,3. Opp Mid (25-49),0.18534281407299108,0.5578947368421052,95
2023,BUF,run,4. Red Zone (10-24),0.14360658919904937,0.5192307692307693,52
2023,BUF,run,5. Goal-to-Go (<10),0.35385649406486086,0.5909090909090909,44
2023,CAR,pass,1. Own End (75-100),-0.24648272733410395,0.2845528455284553,123
2023,CAR,pass,2. Own Mid (50-74),-0.17127999140954858,0.40860215053763443,186
2023,CAR,pass,3. Opp Mid (25-49),-0.3047832585942935,0.33076923076923076,130
2023,CAR,pass,4. Red Zone (10-24),-0.6064732716596107,0.26666666666666666,30
2023,CAR,pass,5. Goal-to-Go (<10),-0.2583415422376404,0.35294117647058826,17
2023,CAR,run,1. Own End (75-100),-0.06166814603576703,0.3516483516483517,91
2023,CAR,run,2. Own Mid (50-74),-0.020999493268764997,0.4383561643835616,146
2023,CAR,run,3. Opp Mid (25-49),-0.2473761375201017,0.28125,96
2023,CAR,run,4. Red Zone (10-24),-0.18734948386718903,0.40476190476190477,42
2023,CAR,run,5. Goal-to-Go (<10),0.06194261635403845,0.5416666666666666,24
2023,CHI,pass,1. Own End (75-100),-0.10414102406342296,0.44155844155844154,77
2023,CHI,pass,2. Own Mid (50-74),0.005485934040225144,0.4326241134751773,141
2023,CHI,pass,3. Opp Mid (25-49),-0.05671583300519227,0.4297520661157025,121
2023,CHI,pass,4. Red Zone (10-24),-0.2229713944226438,0.3055555555555556,36
2023,CHI,pass,5. Goal-to-Go (<10),-0.2426514549986381,0.3333333333333333,21
2023,CHI,run,1. Own End (75-100),0.002675159593069877,0.39473684210526316,76
2023,CHI,run,2. Own Mid (50-74),-0.0009281404590956978,0.4701492537313433,134
2023,CHI,run,3. Opp Mid (25-49),0.03728097165119286,0.4019607843137255,102
2023,CHI,run,4. Red Zone (10-24),0.09757985093109432,0.3888888888888889,36
2023,CHI,run,5. Goal-to-Go (<10),0.43244973177603574,0.7272727272727273,22
2023,CIN,pass,1. Own End (75-100),-0.0328793128036133,0.42857142857142855,112
2023,CIN,pass,2. Own Mid (50-74),0.16904941989116323,0.48554913294797686,173
2023,CIN,pass,3. Opp Mid (25-49),-0.03466489455332819,0.45695364238410596,151
2023,CIN,pass,4. Red Zone (10-24),0.09256740955820704,0.5833333333333334,60
2023,CIN,pass,5. Goal-to-Go (<10),0.02345086524030033,0.41379310344827586,29
2023,CIN,run,1. Own End (75-100),-0.06847538730445583,0.35714285714285715,70
2023,CIN,run,2. Own Mid (50-74),0.07667200477027852,0.42045454545454547,88
2023,CIN,run,3. Opp Mid (25-49),-0.05105458532670818,0.37735849056603776,53
2023,CIN,run,4. Red Zone (10-24),-0.0035604146687546745,0.4444444444444444,36
2023,CIN,run,5. Goal-to-Go (<10),-0.0258169088652088,0.47058823529411764,34
2023,CLE,pass,1. Own End (75-100),-0.08897931452162401,0.40476190476190477,126
2023,CLE,pass,2. Own Mid (50-74),-0.23009873259488006,0.3645320197044335,203
2023,CLE,pass,3. Opp Mid (25-49),-0.1557175108602198,0.44642857142857145,112
2023,CLE,pass,4. Red Zone (10-24),-0.21522909032146162,0.28888888888888886,45
2023,CLE,pass,5. Goal-to-Go (<10),-0.3072908897331675,0.22727272727272727,22
2023,CLE,run,1. Own End (75-100),-0.09124815207698182,0.38095238095238093,84
2023,CLE,run,2. Own Mid (50-74),0.003867131545363615,0.44166666666666665,120
2023,CLE,run,3. Opp Mid (25-49),-0.11784711890532384,0.46464646464646464,99
2023,CLE,run,4. Red Zone (10-24),-0.2822656830577193,0.2558139534883721,43
2023,CLE,run,5. Goal-to-Go (<10),0.4253993271888011,0.5217391304347826,23
2023,DAL,pass,1. Own End (75-100),0.31638378350107815,0.5125,80
2023,DAL,pass,2. Own Mid (50-74),0.33205582512498555,0.527027027027027,148
2023,DAL,pass,3. Opp Mid (25-49),0.19886600106582997,0.5234375,128
2023,DAL,pass,4. Red Zone (10-24),0.22686611227168887,0.45,60
2023,DAL,pass,5. Goal-to-Go (<10),-0.3886633075080278,0.35,40
2023,DAL,run,1. Own End (75-100),-0.35713084886578766,0.1702127659574468,47
2023,DAL,run,2. Own Mid (50-74),0.060438379184405845,0.527027027027027,74
2023,DAL,run,3. Opp Mid (25-49),0.23350140209385395,0.573170731707317,82
2023,DAL,run,4. Red Zone (10-24),0.07188571282101541,0.4727272727272727,55
2023,DAL,run,5. Goal-to-Go (<10),-0.35240545165611137,0.44,25
2023,DEN,pass,1. Own End (75-100),-0.09701783844973008,0.40404040404040403,99
2023,DEN,pass,2. Own Mid (50-74),-0.2281881458751174,0.36363636363636365,154
2023,DEN,pass,3. Opp Mid (25-49),-0.0479278317888139,0.4375,96
2023,DEN,pass,4. Red Zone (10-24),0.045059852210455144,0.41818181818181815,55
2023,DEN,pass,5. Goal-to-Go (<10),0.12244975183034286,0.375,24
2023,DEN,run,1. Own End (75-100),-0.05245068344003004,0.4305555555555556,72
2023,DEN,run,2. Own Mid (50-74),-0.017926569435778156,0.4473684210526316,114
2023,DEN,run,3. Opp Mid (25-49),-0.08466987862085561,0.3977272727272727,88
2023,DEN,run,4. Red Zone (10-24),0.1598203374849522,0.5263157894736842,38
2023,DEN,run,5. Goal-to-Go (<10),-0.18646568276254202,0.42857142857142855,21
2023,DET,pass,1. Own End (75-100),0.03956087317475557,0.4519230769230769,104
2023,DET,pass,2. Own Mid (50-74),0.2173727490110487,0.5256410256410257,156
2023,DET,pass,3. Opp Mid (25-49),0.10346705198362846,0.5575221238938053,113
2023,DET,pass,4. Red Zone (10-24),0.4921985397906636,0.5531914893617021,47
2023,DET,pass,5. Goal-to-Go (<10),0.15160231557101017,0.48148148148148145,27
2023,DET,run,1. Own End (75-100),-0.15879088728509558,0.36923076923076925,65
2023,DET,run,2. Own Mid (50-74),-0.22125076239795557,0.34285714285714286,105
2023,DET,run,3. Opp Mid (25-49),0.269106425247088,0.5,84
2023,DET,run,4. Red Zone (10-24),0.05884169332966635,0.4523809523809524,42
2023,DET,run,5. Goal-to-Go (<10),0.04025709388919899,0.4222222222222222,45
2023,GB,pass,1. Own End (75-100),0.05146079470914935,0.42696629213483145,89
2023,GB,pass,2. Own Mid (50-74),0.268130565484828,0.535483870967742,155
2023,GB,pass,3. Opp Mid (25-49),0.12082624213080868,0.448,125
2023,GB,pass,4. Red Zone (10-24),-0.06631459534354257,0.38961038961038963,77
2023,GB,pass,5. Goal-to-Go (<10),0.5477353270497264,0.4782608695652174,23
2023,GB,run,1. Own End (75-100),-0.09290351584162895,0.32142857142857145,56
2023,GB,run,2. Own Mid (50-74),-0.03512274454820167,0.4326923076923077,104
2023,GB,run,3. Opp Mid (25-49),0.06325785368044436,0.5274725274725275,91
2023,GB,run,4. Red Zone (10-24),-0.12256165061872111,0.34375,64
2023,GB,run,5. Goal-to-Go (<10),0.12285821057202366,0.5,26
2023,HOU,pass,1. Own End (75-100),0.039000867727390004,0.42857142857142855,105
2023,HOU,pass,2. Own Mid (50-74),-0.05982503151410641,0.4307692307692308,195
2023,HOU,pass,3. Opp Mid (25-49),0.2993292664057963,0.5148514851485149,101
2023,HOU,pass,4. Red Zone (10-24),0.02349236607220131,0.4489795918367347,49
2023,HOU,pass,5. Goal-to-Go (<10),0.33108337633326024,0.48,25
2023,HOU,run,1. Own End (75-100),-0.07897701863642138,0.345679012345679,81
2023,HOU,run,2. Own Mid (50-74),-0.14011037346588084,0.3391304347826087,115
2023,HOU,run,3. Opp Mid (25-49),-2.1633054359956008e-05,0.4931506849315068,73
2023,HOU,run,4. Red Zone (10-24),-0.1439305195318668,0.3191489361702128,47
2023,HOU,run,5. Goal-to-Go (<10),-0.044325363330885534,0.45714285714285713,35
2023,IND,pass,1. Own End (75-100),-0.020920524243916525,0.3983050847457627,118
2023,IND,pass,2. Own Mid (50-74),0.17145192937580364,0.47282608695652173,184
2023,IND,pass,3. Opp Mid (25-49),0.04662088710403251,0.4716981132075472,106
2023,IND,pass,4. Red Zone (10-24),-0.022575522188159985,0.3877551020408163,49
2023,IND,pass,5. Goal-to-Go (<10),-0.8622248607702395,0.2631578947368421,19
2023,IND,run,1. Own End (75-100),-0.13445534224731825,0.30337078651685395,89
2023,IND,run,2. Own Mid (50-74),-0.06924406781812985,0.39805825242718446,103
2023,IND,run,3. Opp Mid (25-49),-0.06579204104926074,0.42857142857142855,98
2023,IND,run,4. Red Zone (10-24),0.011034250882221385,0.43333333333333335,60
2023,IND,run,5. Goal-to-Go (<10),0.12613451205626397,0.5142857142857142,35
2023,JAX,pass,1. Own End (75-100),0.22862296727752046,0.5612244897959183,98
2023,JAX,pass,2. Own Mid (50-74),0.16245380715588276,0.5181347150259067,193
2023,JAX,pass,3. Opp Mid (25-49),-0.14417947919563473,0.4645669291338583,127
2023,JAX,pass,4. Red Zone (10-24),-0.3140465465693825,0.375,48
2023,JAX,pass,5. Goal-to-Go (<10),-0.7087900272214378,0.2857142857142857,21
2023,JAX,run,1. Own End (75-100),-0.21561786996086463,0.3584905660377358,53
2023,JAX,run,2. Own Mid (50-74),0.01817490529723096,0.4049586776859504,121
2023,JAX,run,3. Opp Mid (25-49),-0.35909785748417283,0.3,90
2023,JAX,run,4. Red Zone (10-24),-0.24490543357248842,0.37142857142857144,35
2023,JAX,run,5. Goal-to-Go (<10),-0.09268770649447106,0.44,25
2023,KC,pass,1. Own End (75-100),0.019500346979201954,0.4700854700854701,117
2023,KC,pass,2. Own Mid (50-74),-0.11561531387807918,0.405,200
2023,KC,pass,3. Opp Mid (25-49),0.28933313027605856,0.5365853658536586,123
2023,KC,pass,4. Red Zone (10-24),-0.34990726753059237,0.3582089552238806,67
2023,KC,pass,5. Goal-to-Go (<10),0.690938017781224,0.5714285714285714,35
2023,KC,run,1. Own End (75-100),-0.05570558106714387,0.3283582089552239,67
2023,KC,run,2. Own Mid (50-74),0.004482252766187726,0.39090909090909093,110
2023,KC,run,3. Opp Mid (25-49),0.20463024947827893,0.5,82
2023,KC,run,4. Red Zone (10-24),-0.08202090205711557,0.4,40
2023,KC,run,5. Goal-to-Go (<10),0.10961318222229909,0.5789473684210527,19
2023,LA,pass,1. Own End (75-100),0.08564259294741172,0.4811320754716981,106
2023,LA,pass,2. Own Mid (50-74),0.11656750061342286,0.5111111111111111,180
2023,LA,pass,3. Opp Mid (25-49),-0.053724211723870485,0.42857142857142855,112
2023,LA,pass,4. Red Zone (10-24),0.3430966133750883,0.49056603773584906,53
2023,LA,pass,5. Goal-to-Go (<10),0.19323121596441986,0.4166666666666667,36
2023,LA,run,1. Own End (75-100),-0.11682470974192256,0.4,80
2023,LA,run,2. Own Mid (50-74),0.07304537009158693,0.4945054945054945,91
2023,LA,run,3. Opp Mid (25-49),-0.017172794132136866,0.44086021505376344,93
2023,LA,run,4. Red Zone (10-24),-0.000637697349133255,0.42,50
2023,LA,run,5. Goal-to-Go (<10),0.2181661679941873,0.4411764705882353,34
2023,LAC,pass,1. Own End (75-100),0.13936593832726843,0.49635036496350365,137
2023,LAC,pass,2. Own Mid (50-74),-0.10682239804312006,0.43564356435643564,202
2023,LAC,pass,3. Opp Mid (25-49),0.22207053414760627,0.4696969696969697,132
2023,LAC,pass,4. Red Zone (10-24),-0.21680639180031708,0.2826086956521739,46
2023,LAC,pass,5. Goal-to-Go (<10),-0.49858000277887793,0.3170731707317073,41
2023,LAC,run,1. Own End (75-100),-0.18812082646224923,0.3333333333333333,81
2023,LAC,run,2. Own Mid (50-74),-0.10608792007230383,0.4051724137931034,116
2023,LAC,run,3. Opp Mid (25-49),0.006969857222828615,0.41025641025641024,78
2023,LAC,run,4. Red Zone (10-24),-0.010327448703012325,0.3888888888888889,36
2023,LAC,run,5. Goal-to-Go (<10),-0.1877986261998398,0.47368421052631576,38
2023,LV,pass,1. Own End (75-100),-0.167756408772453,0.38372093023255816,86
2023,LV,pass,2. Own Mid (50-74),-0.20017260668778047,0.42138364779874216,159
2023,LV,pass,3. Opp Mid (25-49),0.1323950637146307,0.49107142857142855,112
2023,LV,pass,4. Red Zone (10-24),-0.2738489950770513,0.32608695652173914,46
2023,LV,pass,5. Goal-to-Go (<10),-0.2715261906834219,0.42105263157894735,19
2023,LV,run,1. Own End (75-100),-0.1917475391331255,0.2542372881355932,59
2023,LV,run,2. Own Mid (50-74),0.01639379955398204,0.4435483870967742,124
2023,LV,run,3. Opp Mid (25-49),-0.2491129431523078,0.3384615384615385,65
2023,LV,run,4. Red Zone (10-24),-0.11119924118975177,0.37142857142857144,35
2023,LV,run,5. Goal-to-Go (<10),-0.0041016138263512405,0.4,25
2023,MIA,pass,1. Own End (75-100),0.42940264999427796,0.5365853658536586,82
2023,MIA,pass,2. Own Mid (50-74),0.32835013076953307,0.5384615384615384,156
2023,MIA,pass,3. Opp Mid (25-49),0.24416363892525603,0.5671641791044776,134
2023,MIA,pass,4. Red Zone (10-24),-0.05929504718749015,0.42857142857142855,42
2023,MIA,pass,5. Goal-to-Go (<10),-0.22950995842119667,0.40540540540540543,37
2023,MIA,run,1. Own End (75-100),0.09308861330126612,0.5535714285714286,56
2023,MIA,run,2. Own Mid (50-74),-0.13985255096653978,0.3717948717948718,78
2023,MIA,run,3. Opp Mid (25-49),-0.22477297226238124,0.2835820895522388,67
2023,MIA,run,4. Red Zone (10-24),0.061756850993719345,0.5151515151515151,33
2023,MIA,run,5. Goal-to-Go (<10),-0.08442230218289686,0.5357142857142857,28
2023,MIN,pass,1. Own End (75-100),0.0040999671495012425,0.44554455445544555,101
2023,MIN,pass,2. Own Mid (50-74),-0.12617688008649738,0.4312796208530806,211
2023,MIN,pass,3. Opp Mid (25-49),0.18668538358602435,0.46496815286624205,157
2023,MIN,pass,4. Red Zone (10-24),-0.3481886427833392,0.3448275862068966,58
2023,MIN,pass,5. Goal-to-Go (<10),-0.4354270936688582,0.3939393939393939,33
2023,MIN,run,1. Own End (75-100),-0.049694428291025286,0.4044943820224719,89
2023,MIN,run,2. Own Mid (50-74),-0.042005914872130776,0.425531914893617,94
2023,MIN,run,3. Opp Mid (25-49),-0.062193376043452445,0.5063291139240507,79
2023,MIN,run,4. Red Zone (10-24),0.11260179048709297,0.45161290322580644,31
2023,MIN,run,5. Goal-to-Go (<10),-0.2635030910432079,0.28,25
2023,NE,pass,1. Own End (75-100),-0.41856784560311144,0.39344262295081966,122
2023,NE,pass,2. Own Mid (50-74),-0.12154457623014091,0.3804878048780488,205
2023,NE,pass,3. Opp Mid (25-49),-0.32533817125183584,0.36666666666666664,120
2023,NE,pass,4. Red Zone (10-24),-0.23946663159330772,0.391304347826087,46
2023,NE,pass,5. Goal-to-Go (<10),0.8181348372122663,0.5555555555555556,9
2023,NE,run,1. Own End (75-100),-0.16011856607541344,0.3157894736842105,95
2023,NE,run,2. Own Mid (50-74),0.03796357974327185,0.4152542372881356,118
2023,NE,run,3. Opp Mid (25-49),-0.1425025276661535,0.42168674698795183,83
2023,NE,run,4. Red Zone (10-24),-0.17179896542451673,0.3684210526315789,38
2023,NE,run,5. Goal-to-Go (<10),0.37057830308913253,0.7692307692307693,13
2023,NO,pass,1. Own End (75-100),0.11125865434539495,0.46153846153846156,91
2023,NO,pass,2. Own Mid (50-74),0.0896333139458875,0.48125,160
2023,NO,pass,3. Opp Mid (25-49),-0.05984743465398997,0.4358974358974359,156
2023,NO,pass,4. Red Zone (10-24),-0.21321628876496387,0.39285714285714285,56
2023,NO,pass,5. Goal-to-Go (<10),-0.008363007362402248,0.34782608695652173,23
2023,NO,run,1. Own End (75-100),-0.29058721834804774,0.30158730158730157,63
2023,NO,run,2. Own Mid (50-74),0.0076492931996709765,0.40816326530612246,98
2023,NO,run,3. Opp Mid (25-49),-0.05755850180208561,0.42990654205607476,107
2023,NO,run,4. Red Zone (10-24),-0.024911106938740924,0.46153846153846156,39
2023,NO,run,5. Goal-to-Go (<10),0.11935213475506706,0.42857142857142855,35
2023,NYG,pass,1. Own End (75-100),-0.23765826036080556,0.3565217391304348,115
2023,NYG,pass,2. Own Mid (50-74),-0.1207198122164569,0.4084507042253521,142
2023,NYG,pass,3. Opp Mid (25-49),-0.25877130716002084,0.38095238095238093,105
2023,NYG,pass,4. Red Zone (10-24),0.21037175882547565,0.34615384615384615,26
2023,NYG,pass,5. Goal-to-Go (<10),-1.8320339193709918,0.2222222222222222,9
2023,NYG,run,1. Own End (75-100),-0.2605791952354407,0.2891566265060241,83
2023,NYG,run,2. Own Mid (50-74),-0.18576137602880796,0.36065573770491804,122
2023,NYG,run,3. Opp Mid (25-49),-0.194751014077152,0.4025974025974026,77
2023,NYG,run,4. Red Zone (10-24),-0.20380908478389415,0.35555555555555557,45
2023,NYG,run,5. Goal-to-Go (<10),-0.10447275967677482,0.46153846153846156,13
2023,NYJ,pass,1. Own End (75-100),-0.187833716316179,0.3391304347826087,115
2023,NYJ,pass,2. Own Mid (50-74),-0.30095739458088894,0.3399014778325123,203
2023,NYJ,pass,3. Opp Mid (25-49),-0.33709049314593725,0.4125,80
2023,NYJ,pass,4. Red Zone (10-24),-0.21546594692018167,0.35,40
2023,NYJ,pass,5. Goal-to-Go (<10),-0.42017550905612566,0.21052631578947367,19
2023,NYJ,run,1. Own End (75-100),-0.07075545921877681,0.3108108108108108,74
2023,NYJ,run,2. Own Mid (50-74),-0.3522769443857564,0.3076923076923077,104
2023,NYJ,run,3. Opp Mid (25-49),-0.082269134789711,0.42105263157894735,76
2023,NYJ,run,4. Red Zone (10-24),-0.12814028983502376,0.2972972972972973,37
2023,NYJ,run,5. Goal-to-Go (<10),0.3224790649692295,0.5,10
2023,PHI,pass,1. Own End (75-100),-0.04988050472908573,0.4051724137931034,116
2023,PHI,pass,2. Own Mid (50-74),0.14670842996308353,0.46408839779005523,181
2023,PHI,pass,3. Opp Mid (25-49),0.29117309140338254,0.5039370078740157,127
2023,PHI,pass,4. Red Zone (10-24),0.09011178159727316,0.46153846153846156,52
2023,PHI,pass,5. Goal-to-Go (<10),0.559173053763658,0.5384615384615384,13
2023,PHI,run,1. Own End (75-100),-0.05062855237723424,0.4264705882352941,68
2023,PHI,run,2. Own Mid (50-74),0.1020591557138354,0.5220588235294118,136
2023,PHI,run,3. Opp Mid (25-49),0.03210243439007231,0.45263157894736844,95
2023,PHI,run,4. Red Zone (10-24),0.07335964438821761,0.4423076923076923,52
2023,PHI,run,5. Goal-to-Go (<10),-0.03975732243742667,0.5227272727272727,44
