season,posteam,game_script,pass_rate,epa,success,plays
2023,ARI,Leading (1-7),0.5181818181818182,-0.12308119152902279,0.41818181818181815,110
2023,ARI,Leading (8+),0.5,-0.10495424636605638,0.4444444444444444,18
2023,ARI,Tied,0.507177033492823,-0.08798146141096204,0.3875598086124402,209
2023,ARI,Trailing (1-7),0.5612244897959183,-0.15534035054668016,0.3843537414965986,294
2023,ARI,Trailing (8+),0.47297297297297297,0.20958602734428705,0.4594594594594595,148
2023,ATL,Leading (1-7),0.4909090909090909,-0.09549667547741887,0.39545454545454545,220
2023,ATL,Leading (8+),0.5714285714285714,-0.4175485303858295,0.2857142857142857,7
2023,ATL,Tied,0.5238095238095238,-0.17974581521616795,0.38961038961038963,231
2023,ATL,Trailing (1-7),0.5214521452145214,-0.0008742468728638565,0.429042904290429,303
2023,ATL,Trailing (8+),0.49693251533742333,-0.08071230791470643,0.4110429447852761,163
2023,BAL,Leading (1-7),0.5127388535031847,-0.027797872074542162,0.44904458598726116,314
2023,BAL,Leading (8+),0.5714285714285714,0.06676836729838258,0.5119047619047619,84
2023,BAL,Tied,0.5402843601895735,0.03698768072788174,0.5023696682464455,211
2023,BAL,Trailing (1-7),0.6041666666666666,0.18847307142242745,0.5104166666666666,192
2023,BUF,Leading (1-7),0.5966386554621849,0.05860166918171047,0.4789915966386555,238
2023,BUF,Leading (8+),0.5161290322580645,0.24916320197515313,0.5161290322580645,62
2023,BUF,Tied,0.5774647887323944,0.08324482808679716,0.4788732394366197,213
2023,BUF,Trailing (1-7),0.5486381322957199,0.041290311155047936,0.5058365758754864,257
2023,BUF,Trailing (8+),0.6288659793814433,0.20537623944841,0.5463917525773195,97
2023,CAR,Leading (1-7),0.5729166666666666,-0.2859091537099171,0.3229166666666667,96
2023,CAR,Tied,0.5294117647058824,-0.3753735878983762,0.3058823529411765,170
2023,CAR,Trailing (1-7),0.5674300254452926,-0.1797835081775953,0.35368956743002544,393
2023,CAR,Trailing (8+),0.5221238938053098,-0.005643656969183584,0.43805309734513276,226
2023,CHI,Leading (1-7),0.4880952380952381,-0.04118684368838579,0.40476190476190477,168
2023,CHI,Leading (8+),0.46774193548387094,0.08907000978022904,0.46774193548387094,62
2023,CHI,Tied,0.5289256198347108,0.06986920705152946,0.43388429752066116,242
2023,CHI,Trailing (1-7),0.5458515283842795,-0.05436908781940696,0.45414847161572053,229
2023,CHI,Trailing (8+),0.49230769230769234,-0.20589257561553304,0.35384615384615387,65
2023,CIN,Leading (1-7),0.6322869955156951,-0.010325409988888588,0.39461883408071746,223
2023,CIN,Leading (8+),0.7,-1.0449373546172864,0.3,10
2023,CIN,Tied,0.6203703703703703,0.15790760792829592,0.48148148148148145,216
2023,CIN,Trailing (1-7),0.6813186813186813,0.04326757274921982,0.4835164835164835,273
2023,CIN,Trailing (8+),0.6785714285714286,-0.09956365532873791,0.4166666666666667,84
2023,CLE,Leading (1-7),0.563265306122449,-0.1813354409352968,0.363265306122449,245
2023,CLE,Leading (8+),0.6206896551724138,-0.32125968017197887,0.41379310344827586,29
2023,CLE,Tied,0.595,-0.19229848496160196,0.41,200
2023,CLE,Trailing (1-7),0.5734767025089605,-0.10110988081357514,0.4050179211469534,279
2023,CLE,Trailing (8+),0.5887096774193549,0.05955377165506608,0.4112903225806452,124
2023,DAL,Leading (1-7),0.6231884057971014,0.11637880733806165,0.4830917874396135,207
2023,DAL,Leading (8+),0.6226415094339622,0.11493927219419081,0.41509433962264153,53
2023,DAL,Tied,0.6038647342995169,0.198873533798401,0.5169082125603864,207
2023,DAL,Trailing (1-7),0.656934306569343,0.08251374392272226,0.4744525547445255,137
2023,DAL,Trailing (8+),0.5851851851851851,0.12814689970696916,0.4740740740740741,135
2023,DEN,Leading (1-7),0.5060240963855421,-0.040666559171493345,0.41365461847389556,249
2023,DEN,Leading (8+),0.625,-0.05436929986050624,0.4166666666666667,48
2023,DEN,Tied,0.5056818181818182,-0.07177568829068895,0.42045454545454547,176
2023,DEN,Trailing (1-7),0.672514619883041,-0.22164321081909094,0.3684210526315789,171
2023,DEN,Trailing (8+),0.5811965811965812,0.07030640558236201,0.47863247863247865,117
2023,DET,Leading (1-7),0.568,0.12832607916957106,0.46,250
2023,DET,Leading (8+),0.609375,-0.14410933210776242,0.390625,64
2023,DET,Tied,0.5569620253164557,0.21416104269566916,0.48523206751054854,237
2023,DET,Trailing (1-7),0.5549132947976878,0.07160030105064677,0.5317919075144508,173
2023,DET,Trailing (8+),0.59375,-0.24568076526884397,0.375,64
2023,GB,Leading (1-7),0.5776699029126213,0.20852942550997186,0.4854368932038835,206
2023,GB,Leading (8+),0.5263157894736842,-0.06756627921896334,0.40350877192982454,57
2023,GB,Tied,0.5125,0.02300898318527385,0.45625,160
2023,GB,Trailing (1-7),0.6083916083916084,0.037761058318163274,0.4405594405594406,286
2023,GB,Trailing (8+),0.6336633663366337,0.07326538414003506,0.4158415841584158,101
2023,HOU,Leading (1-7),0.535,-0.04756788383389109,0.44,200
2023,HOU,Leading (8+),0.65625,0.07176337921980223,0.390625,64
2023,HOU,Tied,0.55,-0.026953100104708083,0.385,200
2023,HOU,Trailing (1-7),0.6133828996282528,0.022752717644310236,0.4275092936802974,269
2023,HOU,Trailing (8+),0.5483870967741935,0.05863443961978063,0.4731182795698925,93
2023,IND,Leading (1-7),0.5739130434782609,-0.024008670409363206,0.391304347826087,230
2023,IND,Leading (8+),0.5675675675675675,0.043860326430609775,0.4594594594594595,37
2023,IND,Tied,0.5458937198067633,-0.05697804086291237,0.43478260869565216,207
2023,IND,Trailing (1-7),0.5547945205479452,-0.00013124597386042586,0.4178082191780822,292
2023,IND,Trailing (8+),0.5052631578947369,0.12415045412153819,0.45263157894736844,95
2023,JAX,Leading (1-7),0.581081081081081,-0.08934343946000699,0.481981981981982,222
2023,JAX,Leading (8+),0.6623376623376623,-0.07694084442021308,0.35064935064935066,77
2023,JAX,Tied,0.551219512195122,0.08749017515546305,0.43902439024390244,205
2023,JAX,Trailing (1-7),0.6049382716049383,-0.11964649856858874,0.43209876543209874,162
2023,JAX,Trailing (8+),0.6620689655172414,-0.13614704294317023,0.43448275862068964,145
2023,KC,Leading (1-7),0.5793103448275863,-0.022984927177374024,0.39655172413793105,290
2023,KC,Leading (8+),0.71875,-0.13826642943877232,0.375,32
2023,KC,Tied,0.6425339366515838,0.12397154231300614,0.48868778280542985,221
2023,KC,Trailing (1-7),0.6958762886597938,-0.059055550263986546,0.4072164948453608,194
2023,KC,Trailing (8+),0.6016260162601627,0.186804762407783,0.5284552845528455,123
2023,LA,Leading (1-7),0.5502645502645502,0.015521509930772094,0.43386243386243384,189
2023,LA,Leading (8+),0.6176470588235294,0.25804905053984806,0.5294117647058824,34
2023,LA,Tied,0.583710407239819,0.14408999000119685,0.5067873303167421,221
2023,LA,Trailing (1-7),0.5938461538461538,0.03798678893833524,0.44,325
2023,LA,Trailing (8+),0.6060606060606061,-0.05489974042559968,0.4696969696969697,66
2023,LAC,Leading (1-7),0.5595238095238095,-0.032474268080946965,0.39285714285714285,168
2023,LAC,Leading (8+),0.7297297297297297,-0.054413918976597864,0.43243243243243246,37
2023,LAC,Tied,0.5887445887445888,-0.1221430268936814,0.38095238095238093,231
2023,LAC,Trailing (1-7),0.6363636363636364,-0.00844834721623606,0.44385026737967914,374
2023,LAC,Trailing (8+),0.6494845360824743,0.007718411036656853,0.4742268041237113,97
2023,LV,Leading (1-7),0.5421686746987951,-0.01069664067449444,0.40963855421686746,166
2023,LV,Leading (8+),0.42857142857142855,-0.3792164234632981,0.23809523809523808,21
2023,LV,Tied,0.6038647342995169,-0.0015165927523796373,0.4057971014492754,207
2023,LV,Trailing (1-7),0.5934959349593496,-0.24189378743665677,0.37398373983739835,246
2023,LV,Trailing (8+),0.5777777777777777,-0.10100483311982265,0.4888888888888889,90
2023,MIA,Leading (1-7),0.6269430051813472,0.176038433448258,0.5025906735751295,193
2023,MIA,Leading (8+),0.5555555555555556,-0.17749643325028866,0.4222222222222222,45
2023,MIA,Tied,0.5885416666666666,0.16396333223358073,0.484375,192
2023,MIA,Trailing (1-7),0.6719367588932806,0.12487925308763653,0.4743083003952569,253
2023,MIA,Trailing (8+),0.7333333333333333,-0.06584527525313509,0.6333333333333333,30
2023,MIN,Leading (1-7),0.6519337016574586,0.10056809578712893,0.4198895027624309,181
2023,MIN,Leading (8+),0.625,0.14158322553460798,0.5,24
2023,MIN,Tied,0.5901639344262295,-0.22256402699074337,0.4180327868852459,244
2023,MIN,Trailing (1-7),0.6507936507936508,-0.1007168814622915,0.44126984126984126,315
2023,MIN,Trailing (8+),0.6842105263157895,0.14548599768522963,0.43859649122807015,114
2023,NE,Leading (1-7),0.5181818181818182,-0.08007164528713367,0.38181818181818183,110
2023,NE,Leading (8+),0.6136363636363636,-0.05139730218797922,0.29545454545454547,44
2023,NE,Tied,0.550561797752809,-0.2904541041687189,0.3707865168539326,178
2023,NE,Trailing (1-7),0.6129032258064516,-0.21210624297033698,0.3870967741935484,372
2023,NE,Trailing (8+),0.6344827586206897,-0.008766524580891593,0.45517241379310347,145
2023,NO,Leading (1-7),0.6232876712328768,0.03031406356245024,0.4246575342465753,146
2023,NO,Leading (8+),0.5454545454545454,0.059740601563595265,0.42424242424242425,33
2023,NO,Tied,0.5714285714285714,-0.023878279502316187,0.43956043956043955,182
2023,NO,Trailing (1-7),0.5878136200716846,-0.03752752721159953,0.43727598566308246,279
2023,NO,Trailing (8+),0.5797872340425532,-0.04837442398429389,0.4095744680851064,188
2023,NYG,Leading (1-7),0.48366013071895425,-0.1620475490674772,0.3790849673202614,153
2023,NYG,Leading (8+),0.7777777777777778,0.3790386105603021,0.5555555555555556,9
2023,NYG,Tied,0.5373134328358209,-0.2541390109219104,0.34328358208955223,201
2023,NYG,Trailing (1-7),0.5714285714285714,-0.08085659125096543,0.4166666666666667,252
2023,NYG,Trailing (8+),0.5245901639344263,-0.48884552643565465,0.2786885245901639,122
2023,NYJ,Leading (1-7),0.4406779661016949,-0.2700257448346454,0.3135593220338983,118
2023,NYJ,Leading (8+),0.5,1.0585637936019339,0.6666666666666666,6
2023,NYJ,Tied,0.581081081081081,-0.29933775322223544,0.30405405405405406,148
2023,NYJ,Trailing (1-7),0.6508474576271186,-0.27474984201656283,0.3559322033898305,295
2023,NYJ,Trailing (8+),0.6492146596858639,-0.13110552352202104,0.3717277486910995,191
2023,PHI,Leading (1-7),0.5306859205776173,-0.06508638740261345,0.4259927797833935,277
2023,PHI,Leading (8+),0.6379310344827587,0.0378653535143681,0.5,58
2023,PHI,Tied,0.5411764705882353,0.18129834552357077,0.48627450980392156,255
2023,PHI,Trailing (1-7),0.5555555555555556,0.18757070589774438,0.5120772946859904,207
2023,PHI,Trailing (8+),0.5977011494252874,0.18424219546820184,0.4367816091954023,87
2023,PIT,Leading (1-7),0.46875,-0.211640939980036,0.33125,160
2023,PIT,Leading (8+),0.6,0.9124241649638861,0.8,5
2023,PIT,Tied,0.47280334728033474,0.059046567324158514,0.5104602510460251,239
2023,PIT,Trailing (1-7),0.5451388888888888,-0.09346235003045095,0.3958333333333333,288
2023,PIT,Trailing (8+),0.6,-0.15466015762846877,0.3826086956521739,115
2023,SEA,Leading (1-7),0.5721925133689839,0.007126815949900942,0.42780748663101603,187
2023,SEA,Leading (8+),0.47058823529411764,-0.21978757387664025,0.29411764705882354,34
2023,SEA,Tied,0.5743589743589743,0.08450904784719898,0.49230769230769234,195
2023,SEA,Trailing (1-7),0.6683168316831684,0.08147787433037026,0.4381188118811881,404
2023,SEA,Trailing (8+),0.5925925925925926,-0.05767023896070138,0.48148148148148145,54
2023,SF,Leading (1-7),0.5259259259259259,0.2144451815159194,0.5222222222222223,270
2023,SF,Leading (8+),0.6708860759493671,0.5896446595358419,0.5569620253164557,79
2023,SF,Tied,0.521505376344086,0.22761520062222138,0.5483870967741935,186
2023,SF,Trailing (1-7),0.6260162601626016,-0.013795729846990491,0.4634146341463415,123
2023,SF,Trailing (8+),0.5454545454545454,0.24832823819227884,0.6363636363636364,33
2023,TB,Leading (1-7),0.5248868778280543,0.03672532180899794,0.3936651583710407,221
2023,TB,Leading (8+),0.4642857142857143,-0.30479638417308147,0.25,28
2023,TB,Tied,0.603448275862069,-0.13938676043757153,0.3793103448275862,232
2023,TB,Trailing (1-7),0.5992647058823529,0.054833722043644006,0.4117647058823529,272
