season,posteam,formation,play_type,epa_per_play,plays
2023,PIT,Shotgun,run,-0.08589643161152265,180
2023,PIT,Under Center,pass,0.08409962249222458,48
2023,PIT,Under Center,run,0.0031019609584421104,224
2023,SEA,Shotgun,pass,0.07803945022414813,454
2023,SEA,Shotgun,run,-0.0014279291133181612,170
2023,SEA,Under Center,pass,0.1358068001192639,83
2023,SEA,Under Center,run,-0.03782668943578952,167
2023,SF,Shotgun,pass,0.28102777887074953,404
2023,SF,Shotgun,run,0.059335967027873075,153
2023,SF,Under Center,pass,0.2845317539248115,94
2023,SF,Under Center,run,0.1403410761000882,230
2023,TB,Shotgun,pass,0.02270110192231146,449
2023,TB,Shotgun,run,-0.07921648592434083,223
2023,TB,Under Center,pass,0.17276292739415486,85
2023,TB,Under Center,run,-0.1176225638450382,153
2023,TEN,Shotgun,pass,-0.13960053812350603,344
2023,TEN,Shotgun,run,-0.049456502280435084,153
2023,TEN,Under Center,pass,0.24131267914284157,96
2023,TEN,Under Center,run,0.02588975105013971,214
2023,WAS,Shotgun,pass,-0.13060731195279224,486
2023,WAS,Shotgun,run,0.032541606308843056,169
2023,WAS,Under Center,pass,-0.09056902610355728,43
2023,WAS,Under Center,run,-0.08256477719228512,115
2024,ARI,Shotgun,pass,0.018444145879896214,380
2024,ARI,Shotgun,run,0.2083096077308153,192
2024,ARI,Under Center,pass,0.12372723873487246,80
2024,ARI,Under Center,run,-0.10015449371435134,135
2024,ATL,Shotgun,pass,0.1104541019173052,477
2024,ATL,Shotgun,run,0.039902033154287586,286
2024,ATL,Under Center,pass,-0.17268022862907023,47
2024,ATL,Under Center,run,0.033656193050410364,120
2024,BAL,Shotgun,pass,0.2973805514860421,384
2024,BAL,Shotgun,run,0.11948027360451303,264
2024,BAL,Under Center,pass,0.3797949084898479,62
2024,BAL,Under Center,run,0.13713198272839192,153
2024,BUF,Shotgun,pass,0.17113923198048225,428
2024,BUF,Shotgun,run,0.2595578384057103,192
2024,BUF,Under Center,pass,0.44219488108301186,69
2024,BUF,Under Center,run,0.101203966945118,237
2024,CAR,Shotgun,pass,-0.006121013802852222,331
2024,CAR,Shotgun,run,-0.050562369323742216,125
2024,CAR,Under Center,pass,-0.11213944418212542,65
2024,CAR,Under Center,run,0.1030703147546457,188
2024,CHI,Shotgun,pass,-0.1878019264271278,366
2024,CHI,Shotgun,run,0.08500058639785982,147
2024,CHI,Under Center,pass,-0.184872427533127,66
2024,CHI,Under Center,run,-0.18237414739385052,176
2024,CIN,Shotgun,pass,0.18823346886174608,572
2024,CIN,Shotgun,run,0.06743754970567505,197
2024,CIN,Under Center,pass,0.011399125953727034,33
2024,CIN,Under Center,run,-0.15748544886736568,87
2024,CLE,Shotgun,pass,-0.29198475976562294,398
2024,CLE,Shotgun,run,-0.034625019660743814,185
2024,CLE,Under Center,pass,-0.045270309217933874,90
2024,CLE,Under Center,run,-0.21161895076338108,126
2024,DAL,Shotgun,pass,-0.01491691633214019,401
2024,DAL,Shotgun,run,-0.18205527596739876,164
2024,DAL,Under Center,pass,0.03394816944647817,71
2024,DAL,Under Center,run,-0.0536693390424458,157
2024,DEN,Shotgun,pass,0.027577303328206508,385
2024,DEN,Shotgun,run,-0.1039820647033642,119
2024,DEN,Under Center,pass,-0.03247691690587805,61
2024,DEN,Under Center,run,0.047645170174276164,204
2024,DET,Shotgun,pass,0.141308185636471,270
2024,DET,Shotgun,run,0.1678313662264762,105
2024,DET,Under Center,pass,0.31252108615761265,177
2024,DET,Under Center,run,0.0502611076089743,269
2024,GB,Shotgun,pass,0.08280948528369621,289
2024,GB,Shotgun,run,0.12754400903703256,244
2024,GB,Under Center,pass,0.22063962422702885,55
2024,GB,Under Center,run,-0.0005369508680808047,128
2024,HOU,Shotgun,pass,-0.045995618810856294,432
2024,HOU,Shotgun,run,-0.14287052248229923,135
2024,HOU,Under Center,pass,0.29665519882620933,131
2024,HOU,Under Center,run,-0.026627053721411456,259
2024,IND,Shotgun,pass,-0.02868526876019219,430
2024,IND,Shotgun,run,-0.0342230373019101,338
2024,IND,Under Center,pass,-0.5519893113725209,26
2024,IND,Under Center,run,-0.06737348697878374,81
2024,JAX,Shotgun,pass,-0.004553378896481957,386
